,category,id,question,type,flat list,test
549,resource,dbpedia_23067,Sean Parnell was the governor of which U.S. state?,"['dbo:Region', 'dbo:Settlement', 'dbo:AdministrativeRegion', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Region' 'dbo:Settlement' 'dbo:AdministrativeRegion'
 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location']",True
552,resource,dbpedia_22593,Which nationalist group was responsible for foundation of Young Lords?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
582,resource,dbpedia_21395,What is the title of the Kakae and also the district of the Robert William Wilcox ?,"['dbo:Settlement', 'dbo:Island', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Settlement' 'dbo:Island' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
586,resource,dbpedia_6079,Which region of Zealand is headed by Christopher of Bavaria?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
592,resource,dbpedia_13715,What are the historic house museum which start with the letter t,"['dbo:Castle', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Castle' 'dbo:Building' 'dbo:ArchitecturalStructure' 'dbo:Place'
 'dbo:Location']",True
602,resource,dbpedia_14255,which steel bridge with the lowest fee whose instance of is bridge?,"['dbo:Bridge', 'dbo:RouteOfTransportation', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Bridge' 'dbo:RouteOfTransportation' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
603,resource,dbpedia_18400,Where can I find people whose hometown is Ann Arbour in Michigan?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
610,resource,dbpedia_21779,Which state of Tendaho dam is the headquarters of Ethiopian People's revolutionary democratic Front located ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
617,resource,dbpedia_22174,What is the common nationality of Viveka Babajee anad Ronny Vencatachellum ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
622,resource,dbpedia_22972,What city gave birth to Mishal Raheja and also houses New India Assurance?,"['dbo:Country', 'dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Country' 'dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
646,resource,dbpedia_21729,Which rivers flow into the lower manhatten?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
647,resource,dbpedia_5593,What is the smallest length suspension bridge in the People's Republic of China?,"['dbo:Bridge', 'dbo:RouteOfTransportation', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Bridge' 'dbo:RouteOfTransportation' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
652,resource,dbpedia_5758,Where is the burial place of Anthony of Padua?,"['dbo:Church', 'dbo:ReligiousBuilding', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Church' 'dbo:ReligiousBuilding' 'dbo:Building'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
660,resource,dbpedia_8168,tell me sovereign state which name has the word yugoslavia in it,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
675,resource,dbpedia_13090,Trygve Lie was born in Grorud in what country?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
682,resource,dbpedia_10464,who federal state for indigenous to of american english?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
695,resource,dbpedia_15334,What building contains the headquarters for the Social Democratic Party of Germany?,"['dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']",['dbo:Building' 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location'],True
709,resource,dbpedia_11408,Where did Francisco Goya live and until when?,"['dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']",['dbo:Building' 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location'],True
715,resource,dbpedia_2555,Where is the head office location of the International Chamber of Commerce that is next to lssy-les-Moulineaux?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
